name,district,areacode,longitude,latitude
淡水金色水岸,淡水區,65000100,"121°26'14.50""E"," 25°10'16.48""N"
金色水岸,淡水區,65000100,"121°26'40.85""E"," 25°10'2.26""N"
八里左岸,八里區,65000230,"121°25'57.81""E"," 25° 9'37.45""N"
水興公,八里區,65000230,"121°25'32.44""E"," 25° 9'43.74""N"
八里文化公園,八里區,65000230,"121°24'45.44""E"," 25° 9'48.46""N"
八里渡船頭,八里區,65000230,"121°26'11.60""E"," 25° 9'26.57""N"
挖子尾,八里區,65000230,"121°24'58.74""E"," 25° 9'48.18""N"
重新市集,三重區,65000020,"121°28'55.02""E"," 25° 3'1.18""N"
幸福水樣公園（北）,三重區,65000020,"121°28'39.62""E"," 25° 3'37.34""N"
幸福水樣公園（中）,三重區,65000020,"121°28'47.33""E"," 25° 3'17.67""N"
幸福水樣公園（南）,三重區,65000020,"121°28'55.90""E"," 25° 3'4.55""N"
大都會棒球場,三重區,65000020,"121°28'11.85""E"," 25° 3'55.68""N"
成蘆橋下蘆堤哨,五股區,65000150,"121°27'29.39""E"," 25° 5'50.57""N"
五股濕地,五股區,65000150,"121°27'27.60""E"," 25° 5'52.93""N"
追風哨(五方福德宮),五股區,65000150,"121°27'12.46""E"," 25° 4'59.19""N"
中山棒球場停車場,三重區,65000020,"121°28'22.82""E"," 25° 3'48.73""N"
萬善同,三重區,65000020,"121°28'35.46""E"," 25° 3'46.26""N"
萬善同2,三重區,65000020,"121°28'36.76""E"," 25° 3'45.00""N"
中山橋下,三重區,65000020,"121°28'33.75""E"," 25° 3'40.29""N"
百姓公,三重區,65000020,"121°27'21.99""E"," 25° 5'29.83""N"
大台北溜滑梯,三重區,65000020,"121°28'51.09""E"," 25° 3'23.83""N"
微風棒球場,三重區,65000020,"121°27'18.45""E"," 25° 5'1.69""N"
雙心池,三重區,65000020,"121°28'39.72""E"," 25° 3'40.99""N"
三重機動派出所,三重區,65000020,"121°28'11.79""E"," 25° 3'59.42""N"
樂遊天地,三重區,65000020,"121°28'38.01""E"," 25° 3'33.87""N"
忠孝碼頭,三重區,65000020,"121°30'0.85""E"," 25° 3'24.14""N"
重陽橋下,三重區,65000020,"121°29'55.03""E"," 25° 5'3.23""N"
萬姓公,三重區,65000020,"121°29'42.18""E"," 25° 5'18.66""N"
龍門溜冰場,三重區,65000020,"121°30'15.73""E"," 25° 4'16.54""N"
忠孝橋下租借站,三重區,65000020,"121°29'48.80""E"," 25° 3'13.32""N"
陽光運動公園A,新店區,65000060,"121°31'5.57""E"," 24°58'39.92""N"
陽光運動公園B,新店區,65000060,"121°31'9.71""E"," 24°58'34.38""N"
陽光運動公園C,新店區,65000060,"121°31'17.26""E"," 24°58'30.20""N"
陽光橋(萊茵),新店區,65000060,"121°31'21.87""E"," 24°58'43.73""N"
小碧潭網球場,新店區,65000060,"121°31'38.63""E"," 24°58'22.78""N"
二高橋下景廁,新店區,65000060,"121°31'43.54""E"," 24°58'19.21""N"
親情籃球場,新店區,65000060,"121°32'9.34""E"," 24°57'51.43""N"
秀朗橋(秀朗追風),永和區,65000040,"121°31'43.97""E"," 24°59'48.63""N"
福和橋旁A,永和區,65000040,"121°31'38.59""E"," 25° 0'22.11""N"
福和橋旁B,永和區,65000040,"121°31'42.75""E"," 25° 0'22.71""N"
福和橋旁C,永和區,65000040,"121°31'42.64""E"," 25° 0'22.14""N"
福和公園,永和區,65000040,"121°31'33.95""E"," 25° 0'28.86""N"
福和老人會,永和區,65000040,"121°31'46.09""E"," 25° 0'25.27""N"
綠光公園A,永和區,65000040,"121°30'59.14""E"," 25° 1'9.00""N"
綠光公園B,永和區,65000040,"121°31'3.32""E"," 25° 1'7.26""N"
綠寶石壘球場旁,永和區,65000040,"121°30'46.98""E"," 25° 1'9.64""N"
綠寶石公園,永和區,65000040,"121°30'16.90""E"," 25° 0'52.32""N"
綠寶石停車場,永和區,65000040,"121°30'30.19""E"," 25° 1'2.12""N"
光復橋下景廁,板橋區,65000010,"121°29'9.74""E"," 25° 1'20.51""N"
江翠礫間,板橋區,65000010,"121°29'3.42""E"," 25° 1'37.31""N"
華江溜冰場,板橋區,65000010,"121°29'0.61""E"," 25° 1'47.82""N"
華江碼頭,板橋區,65000010,"121°28'56.61""E"," 25° 1'55.63""N"
華江教育園區,板橋區,65000010,"121°28'53.69""E"," 25° 2'12.99""N"
新月橋-板橋端,板橋區,65000010,"121°27'13.75""E"," 25° 1'40.77""N"
浮洲橋下,板橋區,65000010,"121°26'22.95""E"," 24°59'41.54""N"
新月橋-新莊端,新莊區,65000050,"121°26'57.62""E"," 25° 1'48.51""N"
65橋下棒球場,新莊區,65000050,"121°26'36.26""E"," 25° 1'24.59""N"
原住民主題公園,樹林區,65000070,"121°24'43.48""E"," 24°58'11.36""N"
極限運動公園,鶯歌區,65000080,"121°22'46.04""E"," 24°57'46.00""N"
鶯歌木球場,鶯歌區,65000080,"121°20'47.91""E"," 24°56'13.26""N"
龍窯橋,鶯歌區,65000080,"121°21'23.56""E"," 24°57'0.13""N"
汐止星光橋左岸,汐止區,65000110,"121°39'42.34""E"," 25° 4'31.19""N"
汐止星光橋右岸,汐止區,65000110,"121°39'54.31""E"," 25° 4'44.27""N"
